ARE -- Navya Zaveri *
NGA -- Negro Igbinadolor *
IND -- Nidhi Singhvi *
IRE -- Oisin Dilger *
ENG -- Oliver Garner *
NGA -- Onota Oteheri *
AUS -- Oscar Ivanovski *
KEN -- Patrick Litunya *
KEN -- Patrick Miriti *
IND -- Rajeev Menon *
ARE -- Ralph Lobo *
GMB -- Richard Sock *
AUS -- Ron Baginski *
ARE -- Ronald Credo *
ENG -- Russell Byers *
ARE -- Sanchit Kapoor *
NGA -- Sanya Adebola *
IND -- Shanker Menon *
SCO -- Stu Harkness *
USA -- Thomas Reinke *
NGA -- Timi Woko *
USA -- Timothy Adamson *
USA -- Travis Chaney *
SGP -- Victor Chua *
NGA -- Victor Ewarah *
